Mfg_Part_Num,Part_Desc,Assigned_Brand,Assigned_Manufacturer,Brand_Found_In_Description
XOU2470BCGS,XOU2470BCGS Tall Beverage Center SS,XO Appliance,XO Appliance,GE
XOU24BCGSR,XOU24BCGSR Beverage Center SS,XO Appliance,XO Appliance,GE
XOU24WDZGBR,XOU24WDZGBR Beverage Center Bk,XO Appliance,XO Appliance,GE
C7CDABS2RS3,C7CDABS2RS3 Cafe Coffee Maker,GE Café,GE,Cafe
C7CESAS4RW3,C7CESAS4RW3 Cafe Espresso Wh,GE Café,GE,Cafe
PB900YVFS,"PB900YVFS Elect 30"" Range SS",GE Profile,GE Appliances (Haier),GE
PCFE3080AF,"PCFE3080AF 30"" Elect Range SS - Display Only",GE Café,GE,GE
SLER30524SS,"SLER30524SS 30"" Elect Range SS",Beko,Beko,GE
KSES530SBE,"KSES530SBE 30"" Elect Range BO Display Only",KitchenAid,Whirlpool Corporation,GE
WSGS7530RZ,"WSGS7530RZ 30"" Gas Range SS - Display Only",Whirlpool,Whirlpool Corporation,GE
C90AAAS2RS3,C90AAAS2RS3 Cafe Toast Oven SS,GE Café,GE,Cafe
C9TMA2SP2PS3,C9TMA2S2PS3 Cafe Toaster SS,GE Café,GE,Cafe
CVE28DP3ND1,CVE28DP3ND1 Cafe Fridge Bk,GE Cafe,GE Appliances (Haier),"GE, Cafe"
PRFS2883AF,"PRFS2883AF 36"" Fridge SS - Display Only",Frigidaire Professional,Electrolux,GE
