Tier,Mfg_Part_Num,Part_Desc (raw input),LLM Manufacturer,LLM Brand,LLM Short Desc,LLM Confidence,Manufacturer_Correct? (Y/N),Brand_Correct? (Y/N),Description_Accurate? (Y/N),Verification_Source (URL or note),Notes
Tier 1,KDFM404KPS,KDFM404KPS Dishwasher SS,Whirlpool Corporation,KitchenAid,"KitchenAid 400 Series KDFM404KPS Dishwasher With Stainless Steel, Quiet Operation, Advanced Cleaning",high,,,,,
Tier 1,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,Electrolux,Frigidaire,"Frigidaire Professional PDSH4816AF Dishwasher With Stainless Steel, Multiple Wash Cycles, Quiet Operation",high,,,,,
Tier 1,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,GE Appliances (Haier),GE,"GE Professional PDT715SYVFS Dishwasher With Stainless Steel Tub, Quiet Operation, Multiple Wash Cycles",high,,,,,
Tier 1,LDPH5554D,LDPH5554D LG Dishwasher BSS,LG Electronics,LG,"LG LDPH5554D Dishwasher With Stainless Steel Tub, Quiet Operation, Multiple Wash Cycles",high,,,,,
Tier 1,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,Whirlpool Corporation,Whirlpool,"Whirlpool WDTS7024RZ Dishwasher With Stainless Steel, Quiet Operation, Multiple Wash Cycles",high,,,,,
Tier 1,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,GE Appliances (Haier),GE,"GE Professional PDD415PYYFS Dishwasher With Stainless Steel, Quiet Operation, Multiple Cycles",high,,,,,
Tier 1,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,Whirlpool Corporation,KitchenAid,"KitchenAid KDTS424SBE Dishwasher With Black Finish, Quiet Operation, Multiple Wash Cycles",high,,,,,
Tier 1,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,Whirlpool Corporation,KitchenAid,"KitchenAid 300 Series KDTS324SPS Dishwasher With Stainless Steel Tub, Quiet Operation, Multiple Wash Cycles",high,,,,,
Tier 1,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,Whirlpool Corporation,KitchenAid,"KitchenAid 600 Series KDPS624SJP Dishwasher With Quiet Operation, Multiple Wash Cycles, Stainless Steel Tub",high,,,,,
Tier 1,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,Whirlpool Corporation,KitchenAid,"KitchenAid 600 Series KDTS624SBE Dishwasher With Quiet Operation, Stainless Steel Tub, Multiple Wash Cycles",high,,,,,
Tier 2,DC5004BG,DC5004BG SQ Gas Dryer Bk,Alliance Laundry Systems,Speed Queen,"Speed Queen SQ DC5004BG Clothes Dryer With Gas Heat, Black Color, Commercial-Grade Construction",high,,,,,
Tier 2,DC5004WE,DC5004WE SQ Elect Dryer Wh,Alliance Laundry Systems,Speed Queen,"Speed Queen SQ DC5004WE Clothes Dryer With electric heating, white finish",medium,,,,,
Tier 2,WOSP30100SS,WOSP30100SS Beko Wall Oven SS,Beko,Beko,"Beko WOSP30100SS Oven With Stainless Steel, Electric",high,,,,,
Tier 2,C7CEBBS4RW3,C7CEBBS4RW3 Café Auto Espresso Machine Wh,GE,Café,"Café C7 Series C7CEBBS4RW3 Espresso Machine With Automatic, White",high,,,,,
Tier 2,C7CDABS3RD3,C7CDABS3RD3 Café Coffee Maker MB,GE,Café,"Café C7 Series C7CDABS3RD3 Coffee Maker With Thermal Carafe, Stainless Steel, Automatic Shut-Off",high,,,,,
Tier 2,TV2000WN,TV2000WN SQ Elect Washer,Alliance Laundry Systems,Speed Queen,"Speed Queen SQ TV2000WN Clothes Washer With commercial-grade construction, heavy-duty cycle",high,,,,,
Tier 2,DC5004WG,DC5004WG SQ Gas Dryer Wh,Alliance Laundry Systems,Speed Queen,"Speed Queen DC5004WG Gas Dryer With White Finish, Gas Fuel, High Capacity",medium,,,,,
Tier 2,DR7004WG,DR7004WG SQ Gas Dryer Wh,Alliance Laundry Systems,Speed Queen,"Speed Queen DR7004WG Clothes Dryer With Gas Heat, White",high,,,,,
Tier 2,WMMS3330RZ,WMMS3330RZ OTR Mocrowave SS - Display Only,Whirlpool Corporation,Whirlpool,"Whirlpool WMMS3330RZ Microwave Oven With Stainless Steel, Sensor Cooking, Turntable",high,,,,,
Tier 2,DC5004BE,DC5004BE SQ Elect Dryer Bk,Alliance Laundry Systems,Speed Queen,"Speed Queen DC5004BE Clothes Dryer With Electric Heat, Black Finish",high,,,,,
Tier 2,EUF17CDBW,EUF17CDBW Element 17CF Freezer - Upright,Element Electronics,Element,"Frigidaire Element EUF17CDBW Freezer With upright design, white color, automatic defrost",high,,,,,
Tier 2,WKE100HWA,WKE100HWA LG Laundry Center Wh - Display,LG Electronics,LG,"LG WKE Series WKE100HWA Laundry Center With White Finish, Electric Dryer, Stacked Design",high,,,,,
Tier 2,PAD28BYTFS,PAD28BYTFS GE Fridge SS,GE Appliances (Haier),GE,"GE Profile PAD28BYTFS Refrigerator With Stainless Steel, Through-the-door ice, Advanced water filtration",high,,,,,
Tier 2,EUF21CDBW,EUF21CDBW Element 21CF Freezer - Upright,Element Electronics,Element,"Frigidaire Element EUF21CDBW Freezer With upright design, adjustable shelves, frost-free operation",medium,,,,,
Tier 2,C7CESAS2RS3,C7CESAS2RS3 Café Espresso SS,GE,Café,"Café C7 Series C7CESAS2RS3 Espresso Machine With Stainless Steel, Automatic Temperature Control, Multiple Brew Settings",high,,,,,
Tier 2,PCWK15C1WSS,PCWK15C1WSS GE Microwave,GE Appliances (Haier),GE,"GE PCWK Microwave Oven PCWK15C1WSS With Sensor Cooking, 1000W Power",high,,,,,
Tier 2,DR7004BE,DR7004BE SQ Elect Dryer Bk,Alliance Laundry Systems,Speed Queen,"Speed Queen DR7004BE Clothes Dryer With Electric Heat, Black Color, Standard Installation",high,,,,,
Tier 2,LT18S2100SS,LT18S2100S 18CF LG Fridge SS,LG Electronics,LG,"LG LT18S2100SS Refrigerator With 18 cu ft capacity, Stainless Steel finish, Through-the-door ice",high,,,,,
Tier 2,DV2000WG,DV2000WG SQ Gas Dryer Wh,Alliance Laundry Systems,Speed Queen,"Speed Queen Commercial DV2000WG Clothes Dryer With Gas Heat, White Finish",high,,,,,
Tier 2,PCFE3080AF,"PCFE3080AF 30"" Elect Range SS - Display Only",GE,GE Café,"GE Café Series PCFE3080AF Electric Range With Stainless Steel, Electronic Controls, Multiple Burners",high,,,,,
Tier 2,PEP9030DTBB,"PEP9030DTBB 30"" GE Cooktop Bk",GE Appliances (Haier),GE,"GE Profile PEP9030DTBB Cooktop With Black Color, Electric Fuel, 30 in Width",high,,,,,
Tier 2,PB900YVFS,"PB900YVFS Elect 30"" Range SS",GE Appliances (Haier),GE Profile,"GE Profile Series PB900YVFS Electric Range With Stainless Steel, Multiple Burners, Electronic Controls",high,,,,,
Tier 2,C7CESAS4RW3,C7CESAS4RW3 Cafe Espresso Wh,GE,GE Café,"GE Café C7 Series C7CESAS4RW3 Espresso Machine With automatic temperature control, adjustable brew strength, stainless steel body",medium,,,,,
Tier 2,C7CDAAS4PW3,C7CDAAS4PW3 Café Drip Coffee Maker MW,GE,Café,"Café C7 Series C7CDAAS4PW3 Coffee Maker With Thermal Carafe, Programmable Timer, Stainless Steel",high,,,,,
Tier 2,C9TMA2SP2PS3,C9TMA2S2PS3 Cafe Toaster SS,GE,GE Café,"GE Café C9 Series C9TMA2SP2PS3 Toaster With Stainless Steel, 2-Slice, Defrost Function",high,,,,,
